archive;isilcode;name;search;homepage;archiefwiki;twitter
ade;NL-DtAD;Archief Delft;https://www.openarch.nl/ade;https://www.stadsarchiefdelft.nl/;https://archiefwiki.pleio.nl/wiki/Archief_Delft;https://twitter.com/ArchiefDelft
bhi;NL-HtBHIC;Brabants Historisch Informatie Centrum;https://www.openarch.nl/bhi;https://www.bhic.nl/;https://archiefwiki.pleio.nl/wiki/Brabants_Historisch_Informatie_Centrum;https://twitter.com/bhicarchief
elo;NL-LdnRAL;Erfgoed Leiden en omstreken;https://www.openarch.nl/elo;https://www.erfgoedleiden.nl/;https://archiefwiki.pleio.nl/wiki/Erfgoed_Leiden_en_Omstreken;https://twitter.com/ErfgoedLeiden
eem;NL-AmfAE;Archief Eemland;https://www.openarch.nl/eem;https://www.archiefeemland.nl/;https://archiefwiki.pleio.nl/wiki/Archief_Eemland;https://twitter.com/archief_eemland
gae;NL-EdGA;Gemeentearchief Ede;https://www.openarch.nl/gae;https://gemeentearchief.ede.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Ede;https://twitter.com/GemeenteEde
dar;NL-AsnDA;Drents Archief;https://www.openarch.nl/dar;http://www.drentsarchief.nl/;https://archiefwiki.pleio.nl/wiki/Drents_Archief;https://twitter.com/DrentsArchief
thl;NL-TlnGAT;Gemeentearchief Tholen;https://www.openarch.nl/thl;https://www.archieftholen.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Tholen;https://twitter.com/Gemeente_Tholen
was;;Gemeentearchief Wassenaar;https://www.openarch.nl/was;https://gemeentearchief.wassenaar.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Wassenaar;https://twitter.com/Gem_Wassenaar
nbd;;Gemeentearchief Noord-Beveland;https://www.openarch.nl/nbd;https://www.noord-beveland.nl/historie;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Noord-Beveland;https://twitter.com/Gem_NrdBeveland
ghn;NL-HaNA;Nationaal Archief;https://www.openarch.nl/ghn;https://www.nationaalarchief.nl/;https://archiefwiki.pleio.nl/wiki/Nationaal_Archief;https://twitter.com/gahetNA
hco;NL-ZlHCO;Historisch Centrum Overijssel;https://www.openarch.nl/hco;https://www.historischcentrumoverijssel.nl/;https://archiefwiki.pleio.nl/wiki/Historisch_Centrum_Overijssel;https://twitter.com/HCOverijssel
hcl;NL-LwHCL;Historisch Centrum Leeuwarden;https://www.openarch.nl/hcl;https://historischcentrumleeuwarden.nl/;https://archiefwiki.pleio.nl/wiki/Historisch_Centrum_Leeuwarden;https://twitter.com/HistorischCLwd
nha;NL-HlmNHA;Noord-Hollands Archief;https://www.openarch.nl/nha;https://www.noord-hollandsarchief.nl/;https://archiefwiki.pleio.nl/wiki/Noord-Hollands_Archief;https://twitter.com/NHarchief
raa;NL-AmrRAA;Regionaal Archief Alkmaar;https://www.openarch.nl/raa;https://www.regionaalarchiefalkmaar.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Archief_Alkmaar;https://twitter.com/archiefalkmaar
ran;NL-NmRAN;Regionaal Archief Nijmegen;https://www.openarch.nl/ran;https://studiezaal.nijmegen.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Archief_Nijmegen;https://twitter.com/gem_Nijmegen
rat;NL-TbRAT;Regionaal Archief Tilburg;https://www.openarch.nl/rat;https://www.regionaalarchieftilburg.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Archief_Tilburg;https://twitter.com/RATilburg
rhe;NL-EhvRHCE;Regionaal Historisch Centrum Eindhoven;https://www.openarch.nl/rhe;https://www.rhc-eindhoven.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Historisch_Centrum_Eindhoven;https://twitter.com/RHCEindhoven
vev;NL-BklVV;Regionaal Historisch Centrum Vecht en Venen;https://www.openarch.nl/vev;https://www.rhcvechtenvenen.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Historisch_Centrum_Vecht_en_Venen;https://twitter.com/RHCVV
sag;;Gemeentearchief Goes;https://www.openarch.nl/sag;https://www.goes.nl/gemeentearchief/nieuws_42833/;;https://twitter.com/GemeenteGoes
sha;NL-HdnSALHA;Streekarchief Langstraat Heusden Altena;https://www.openarch.nl/sha;https://www.salha.nl/;https://archiefwiki.pleio.nl/wiki/Streekarchief_Langstraat_Heusden_Altena;
srm;NL-AlSARM;Streekarchief Rijnlands Midden;https://www.openarch.nl/srm;http://www.groenehartarchieven.nl/;https://archiefwiki.pleio.nl/wiki/Streekarchief_Rijnlands_Midden;https://twitter.com/GroeneHartArch
zar;NL-MdbZA;Zeeuws Archief;https://www.openarch.nl/zar;https://www.zeeuwsarchief.nl/;https://archiefwiki.pleio.nl/wiki/Zeeuws_Archief;https://twitter.com/zeeuwsarchief
ens;NL-EsSA;Stadsarchief Enschede;https://www.openarch.nl/ens;https://stadsarchief.enschede.nl/;https://archiefwiki.pleio.nl/wiki/Stadsarchief_Enschede;https://twitter.com/Gem_Enschede
rzh;NL-HaNA;Nationaal Archief Rijksarchief Zuid-Holland;https://www.openarch.nl/rzh;https://www.nationaalarchief.nl/;https://archiefwiki.pleio.nl/wiki/Nationaal_Archief;https://twitter.com/gahetNA
srt;NL-RtGAR;Stadsarchief Rotterdam;https://www.openarch.nl/srt;https://www.stadsarchief.rotterdam.nl/;https://archiefwiki.pleio.nl/wiki/Stadsarchief_Rotterdam;https://twitter.com/stadsarchief010
nle;NL-LlsNLE;Het Flevolands Archief;https://www.openarch.nl/nle;https://hetflevolandsarchief.nl/;https://nl.wikipedia.org/wiki/Het_Flevolands_Archief;https://twitter.com/HFArchief
rhl;NL-MtRHCL;Regionaal Historisch Centrum Limburg;https://www.openarch.nl/rhl;https://www.rhcl.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Historisch_Centrum_Limburg;https://twitter.com/rhclimburg
bor;;Gemeentearchief Borsele;https://www.openarch.nl/bor;https://www.borsele.nl/home/gemeentearchief_44987/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Borsele;https://twitter.com/gemeenteborsele
dev;NL-DvSA;Stadsarchief Deventer;https://www.openarch.nl/dev;https://www.stadsarchiefdeventer.nl/;https://archiefwiki.pleio.nl/wiki/Stadsarchief_en_Athenaeumbibliotheek_Deventer;
gld;NL-AhGldA;Gelders Archief;https://www.openarch.nl/gld;https://www.geldersarchief.nl/;https://archiefwiki.pleio.nl/wiki/Gelders_Archief;https://twitter.com/geldersarchief
nim;NL-HaNIMH;Nederlands Instituut voor Militaire Historie;https://www.openarch.nl/nim;https://www.defensie.nl/onderwerpen/militaire-geschiedenis-nimh;;
rar;NL-TlRAR;Regionaal Archief Rivierenland;https://www.openarch.nl/rar;https://regionaalarchiefrivierenland.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Archief_Rivierenland;https://twitter.com/RARivierenland
hng;;Gemeentearchief Hengelo;https://www.openarch.nl/hng;https://archief.hengelo.nl/;;https://twitter.com/GemeenteHengelo
gav;NL-VlGA;Gemeentearchief Venlo;https://www.openarch.nl/gav;http://archief.venlo.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Venlo;https://twitter.com/ArchiefVenlo
frl;;AlleFriezen;https://www.openarch.nl/frl;https://www.allefriezen.nl/;;https://twitter.com/AlleFriezen
gra;NL-GnGRA;AlleGroningers;https://www.openarch.nl/gra;https://www.allegroningers.nl/;https://archiefwiki.pleio.nl/wiki/Groninger_Archieven;https://twitter.com/gronarch
szu;NL-ZuRAZ;Regionaal archief Zutphen;https://www.openarch.nl/szu;https://erfgoedcentrumzutphen.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Archief_Zutphen;
ven;;Gemeente Venray, gemeentearchief;https://www.openarch.nl/ven;https://rooynet.nl/gemeentearchiefvenray;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Venray;https://twitter.com/Gemeente_Venray
saa;NL-AsdSAA;Stadsarchief Amsterdam;https://www.openarch.nl/saa;https://www.amsterdam.nl/stadsarchief/;https://archiefwiki.pleio.nl/wiki/Stadsarchief_Amsterdam;https://twitter.com/stadsarchief
eal;NL-DtcSARA;Erfgoedcentrum Achterhoek en Liemers;https://www.openarch.nl/eal;https://www.ecal.nu/;https://archiefwiki.pleio.nl/wiki/Erfgoedcentrum_Achterhoek_en_Liemers;https://twitter.com/erfgoedcentrum
krd;NL-KrdGA;Gemeentearchief Kerkrade;https://www.openarch.nl/krd;https://www.kerkrade.nl/wonen-en-leven/gemeentearchief_41450/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Kerkrade;https://twitter.com/Gem_Kerkrade
swl;NL-StwGA;Gemeente Steenwijkerland;https://www.openarch.nl/swl;https://www.steenwijkerland.nl/Over_Steenwijkerland/Gemeentearchief;;https://twitter.com/steenwijkerland
rad;NL-DtdRAD;Regionaal Archief Dordrecht;https://www.openarch.nl/rad;https://www.regionaalarchiefdordrecht.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Archief_Dordrecht;https://twitter.com/DortsArchief
hua;NL-UtHUA;Het Utrechts Archief;https://www.openarch.nl/hua;https://hetutrechtsarchief.nl/;https://archiefwiki.pleio.nl/wiki/Het_Utrechts_Archief;https://twitter.com/UtrechtsArchief
rht;NL-HrlRi;Rijckheyt, centrum voor regionale geschiedenis;https://www.openarch.nl/rht;http://www.rijckheyt.nl/;https://archiefwiki.pleio.nl/wiki/Rijckheyt;https://twitter.com/Rijckheyt
sch;NL-SdmGA;Gemeentearchief Schiedam;https://www.openarch.nl/sch;https://www.schiedam.nl/gemeentearchief;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Schiedam;https://twitter.com/ArchiefSchiedam
brd;NL-BdSA;Stadsarchief Breda;https://www.openarch.nl/brd;https://stadsarchief.breda.nl/;https://archiefwiki.pleio.nl/wiki/Stadsarchief_Breda;https://twitter.com/Breda
