relationtype	count	a2a	rol	relatie
Geregistreerde	64576435	*	--	--
Overledene	47118891	*	overledene	
Vader	35869119	*		schema:parent
Moeder	35312207	*		schema:parent
Kind	21069169	*	boreling	schema:children
Getuige	13474487	*	getuige	
Bruid	9804806	*	bruid	
Bruidegom	9796097	*	bruidegom	
Moeder van de bruidegom	6279608	*		schema:parent
Moeder van de bruid	6279576	*		schema:parent
Vader van de bruidegom	6213201	*		schema:parent
Vader van de bruid	6195839	*		schema:parent
Partner	4423576	*		
Relatie	3036971			schema:knows
Reiziger	2596159		reiziger	
Dopeling	2094086		dopeling	
Vermeld	1278248		--	--
Vermelding	1123456		--	--
Persoon in notariële akte	893012		--	--
Werknemer	773818		werknemer	
Notaris	762645		notaris	
Verkoper	754112		verkoper	
Koper	691970		koper	
Bruidegom/bruid	494961		???	
Ondertekenaar	470565		ondertekenaar	
Persoon in bevolkingsregister	448612		--	--
Aangever	405146		aangever	
Overige personen	393250		--	--
Bewoner	381885		bewoner	
Dienstplichtige	371385		dienstplichtige	
Niet gespecificeerde rol	364367		--	--
Lidmaat	343878		lidmaat	
Ambtenaar	324280		ambtenaar	
Militair	312313		militair	
Gedecoreerde	287222		gedecoreerde	
Schuldenaar	270269		schuldenaar	
Lidmaat of gevormde	248149		???	
Schuldeiser	243391		schuldeiser	
Loteling	229823		loteling	
Comparant	229327		--	--
Notarieel geregistreerde	228644		--	--
Eigenaar	226239		eigenaar	
Eerdere partner	222735			eerderePartnerVan
Vader/moeder	196457			???
Weduwe	194677			weduweVan
Persoon	188173		--	--
Passagier	179221		passagier	
Weduwnaar	157452			weduwnaarVan
Aangeslagene	151365		aangeslagene	
Begravene	128482		begravene	
Huurder	126704		huurder	
Meter	126365		meter	
Gewettigd kind	126344			kindVan
Constituant	125074			
Bruids zijde	122880			
Andere naam dan overledene	117977			
Vader bruidegom/bruid	117845			
Vorige partner bruidegom	116578			
Partij	116394			
handelt voor zich	114898			
Begunstigde	111741			
Echtgenote	108398			eegaVan
Peter	107864			
Bruidegoms zijde	105408			
Personeelslid	104849			
Gedaagde	102997			
Persoon in na	101029			
Eerdere vrouw	97926			
Geconstitueerde	97718			
Genoemd	96375			
Verhuurder	93092			
Vrouw	92418			
Man	87888			
Overige belanghebbenden	85247			
Persoon in ra	82359			
Eerdere man	82123			
Vorige partner bruid	78496			
Militieregister geregistreerde	76664			
Echtgenoot	75945			
Hoofdpersoon	75231			
Borg	69849			
Wederpartij	64285			
Eigenaar/rechthebbende	62219			
Grootouder bruidegom	61818			
Erfgenaam	61733			
Eerste partij	58374			
Ingeschreven	55632			
Tweede partij	47703			
Grootouder bruid	47584			
Testateur	44709			
In kwaliteit	43638			
Kiesgerechtigde	41290			
Arrestant	40732			
Veroordeelde	40456			
Patentplichtige	39411			
Moeder kind	38405			
Eerdere relatie	36770			
Vader kind	36482			
Persoon in lidmatenregister	36364			
Lid	36170			
Moeder overledene	36149			
Vader overledene	35377			
Zitplaatsregister geregistreerde	34234			
Laatste partner van de bruidegom	33002			
Erflater	32935			
Afzender	32569			
Beluid	32392			
Buur	32198			
Overdrager	31687			
Ontvanger	29183			
Verwant	28322			relatedTo
Curator	28054			
Poorter	27152			
anderszins vermeld	26937			
Bruid of bruidegom	25744			
Laatste partner van de bruid	25713			
belender	25285			
Patiënt	25132			
Verkoper in kwaliteit	24721			
Weeskamer geregistreerde	23558			
Debiteur	20691			
Betrokkene	20655			
Laatstelijk gehuwd	20278			
Weeskind	20131			
Begraven	19346			
Doopheffer	18639			
Crediteur	18467			
Schepeling	18140			
Zoon	18136			
Vluchteling	18029			
Genoemde	17723			
Moeder bruidegom/bruid	17568			
Voor zich en in kwaliteit	17198			
Eerste comparant	16800			
Gebruiker	16204			
Wed.	16146			
Lastgever	15358			
Overleden partner bruid/bruidegom	15324			
Gelastigde	13954			
Attestant	13205			
handelt voor ander	12785			
Emigrant	12744			
Cedent	11543			
Cessionaris	11266			
Overleden man	11042			
Schipper	10986			
Requirant	10604			
Verkoper voor zich en in kwaliteit	10376			
Eerdere relatie bruid	10099			
Protesteerder	9826			
Eerste persoon	9495			
Dochter	9372			
Eerdere relatie bruidegom	8350			
Notariële akte	8336			
Plaatsvervanger	8131			
Tweede comparant	8065			
Notariële akte	8029			
Wedude/weduwnaar	7737			
Schuldeiser in kwaliteit	7566			
Persoon in notariële akte	7535			
Verhuurder in kwaliteit	7501			
Ouder	7452			
Waarboeken geregistreerde	7191			
Kind van	7160			
Rekwirant	7133			
Bediend	6395			
Reisgenoot	6392			
Belendende	6187			
Verklaarder	6082			
Belastingplichtige	5968			
Burgerboek geregistreerde	5938			
Kerkvoogd	5857			
Functieverkrijger	5839			
Verkoper en koper	5801			
Hoofd	5745			
Overleden vrouw	5737			
Belanghebbende	5472			
Verkrijger	5452			
Echtgenote van	5397			
Belastingregister bewoner	5384			
Opdrachtgever	5314			
Verlener	5149			
Koper in kwaliteit	4981			
Persoon in akte	4966			
Minderjarige	4821			
Kolonisten zoon	4647			
Onbekende rol	4588			
Echtgeno(o)t(e)	4501			
Getuige bruidegom	4496			
Vreemdeling	4470			
Getuige bruid	4460			
Taxateur	4430			
Garnizoenregister geregistreerde	4422			
Heffer	4409			
Geborene	4352			
geen specifieke rol	4288			
Kolonisten dochter	4286			
Acceptant	4267			
Executeur-testamentair	4243			
Tweede persoon	4145			
Grootouder	4128			
Collateraal subject	4090			
Overleden/Erflater	4037			
Uitkoper	3930			
Broer	3904		schema:sibbling	
Comparante	3903			
Pachter	3888			
Gescheidene	3831			
Reigenoot	3775			
Aanvrager	3725			
Ingedeelde	3689			
Diaken	3488			
Voogd	3478			
Stemgerechtigde	3398			
Oom	3323			
Gewezen echtgenote	3262			
Gewezen echtgenoot	3260			
Koper en huurder	3128			
Voor zich	3117			
Verkoper en verhuurder	3038			
Neef	2902			
Donataris	2893			
Bestuurslid	2675			
echtgenote	2629			
Eiser	2626			
echtgenoot	2604			
Provisionele koper	2501			
Goedkeurder	2456			
Eigenaar en gebruiker	2370			
Donateur	2256			
Paspoort geregistreerde	2248			
Lener	2243			
Derde persoon	2195			
Overig	2160			
eerdere echtgenoot	2153			
Leerling	2112			
Geïnsinueerde	2083			
Insinuant	2038			
Divident	2018			
Directeur	2007			
Legataris	2002			
Buurman	1999			
Verpachter	1983			
Leermeester	1886			
Kolonisten moeder	1814			
Schoonzoon	1790			
eerdere echtgenote	1742			
Firmant	1741			
Bestuurder	1738			
Huisregister bewoner	1702			
Kolonisten vader	1691			
Koper en schuldenaar	1662			
Volkstellingregister inwoner	1634			
Onderduiker	1605			
Zwager	1605			
Substituut-begunstigde	1590			
Lasthebber	1571			
Niaarnemer	1530			
Memorieregister geregistreerde	1518			
Geboren	1515			
Verkoper voor zich	1502			
Gemachtigd verkoper	1500			
Erkend kind	1499			
Oprichter	1496			
Belendende/Mede-eigenaar	1476			
Verwerper	1458			
Vrouw van	1453			
Gemachtigde	1361			
Overleden/Voormalig eigenaar	1321			
Verdachte	1317			
Verlener van het ontslag	1312			
Verkoper en schuldeiser	1288			
Geen bloedverwant	1270			
geen specifieke rol/Overleden	1205			
Hypotheekgever	1195			
Provisioneel koper	1185			
Gefailleerde	1177			
Administrateur	1172			
Erfgenaam en verkoper	1139			
Procuratiegever	1129			
Dochter van	1122			
Overige	1115			
Opa	1105			
Verhuurder voor zich en in kwaliteit	1105			
Huurder en koper	1099			
Deposant	1098			
Morgengaveboek bruidegom	1086			
Minderjarig	1084			
Morgengaveboek bruid	1084			
Koper/Buur	1057			
Eerder overleden echtgeno(o)t(e)	1053			
Ontvanger van het ontslag	1025			
Predikant	1011			
Armvoogd	998			
Aannemer	993			
Deskundige	993			
Ambtenaren zoon	984			
Hypotheeknemer	951			
Comparant/Crediteur	948			
Houder	946			
Comparant 1	936			
Curator ad actum divisionis	930			
Toeziend voogd	930			
Hoogste bieder	925			
Student	916			
Bekende	903			
Eerder weduwnaar van 1	902			
Bewindvoerder	895			
Executeur testamentair	894			
Scholier	878			
Schuldenaar in kwaliteit	878			
Erflaters	837			
Procuratienemer	827			
Onder voogdij	819			
Verkoper en inhouder	804			
Secretaris	772			
Schenker	755			
Verzorger	750			
Contractant	732			
Voormomber	726			
Verkoper en erfgenaam	720			
Curator bonorum	715			
Schatter	711			
Ambtenaren dochter	708			
Mede-eigenaar	705			
Ingeschrevene	693			
Rendant	686			
Overleden/Belendende	672			
Comparant/Debiteur	658			
Beklaagde	657			
Klager	645			
Kind en requirant	641			
Bevoogde/Erfgenaam	638			
Volmacht	635			
Verkoper/Buur	622			
Schuldenaar voor zich en in kwaliteit	610			
Gedoopte	605			
Vennoot	590			
Eigenaar en verkoper	581			
Verhuurder en verkoper	577			
Acceptant in kwaliteit	568			
Overleden/Verwant	567			
Indemniteitsregister geregistreerde	557			
Voorzitter	556			
Niet verwant	552			
Begiftigde	550			
Kerkenraadslid	546			
Lastgever in kwaliteit	541			
Minderjarig kind	533			
Testatrice	526			
Zuster	525			
Duikadres	522			
Verkoper en cedent	517			
geen specifieke rol/Overleden/Erflater	517			
Bevoogde	511			
Paspoorthouder	505			
Commissaris	503			
Eerder weduwe van 1	499			
Ambtenaren vader	487			
Dienstmeid	478			
Eerdere echtgenote	444			
Gerequireerde	436			
Inhouder	435			
Cedent in kwaliteit	433			
Verkoopster	425			
Subject	413			
Comparant 2	411			
Stiefvader	411			
Ambtenaren moeder	410			
Voor zich en als gelastigde	409			
Borgsteller	400			
Kleinzoon	388			
Burgemeester	387			
Erfpachter	387			
Huurder of koper	386			
Assistent	385			
Bediend en overleden	385			
Procureur	374			
Aanbesteder	369			
Auditor	369			
Grootvader	367			
Afgever	361			
Gedoopt door	358			
Bewaargever	354			
Verkoper voor zich en in kwaliteit en koper	353			
Vertegenwoordiger	344			
Verkoper in kwaliteit en koper	338			
Gecommitteerde	334			
Herroeper	334			
Verkoper en gelastigde	328			
Deelgenoot	325			
Belending	323			
Verkoper en lastgever	314			
Vorige vrouw	314			
Eerder overleden echtgenoot	306			
Vorige eigenaar	299			
Verkoper en verhuurder in kwaliteit	292			
Schuldeiser en verkoper	290			
In kwaliteit als kerkvoogd	289			
Relatie bruidegom	284			
Pastorievoogd	279			
Lastgever/Begunstigde	276			
Oud-curator	274			
Erflaatster	273			
Vruchtgebruiker	270			
Curandus	269			
Verhuurder in kwaliteit als kerkvoogd	269			
Eerdere echtgenoot	265			
Ondergebracht	259			
Dienstmaagd	257			
Legatant	257			
Alumnus	256			
Groep	252			
Stiefzoon	252			
Toebedeelde	252			
Belendende/Comparant	248			
Executeur	248			
Cessionaris in kwaliteit	247			
Curator in het faillissement	244			
Onder curatele	244			
Loco Peter	243			
Verhuurder en huurder	238			
Crediteur/Verkoper	235			
Opposant	234			
Naastligger ten oosten	233			
